C:\Users\zahra\PyCharmMiscProject\.venv\bin\python.exe C:\Users\zahra\PyCharmMiscProject\AW.py 

  Running correctness verification …
  ✓ All 10 algorithms passed correctness check.

=================================================================
  Experimental Comparison of Sorting Algorithms
  Algorithms Course — Python Benchmark
=================================================================
  Algorithms   : 10
  Input sizes  : [100, 500, 1000, 2000, 5000, 10000]
  Distributions: ['random', 'sorted', 'reverse']
  Trials/cell  : 5
  Total cells  : 180
=================================================================

── Distribution: RANDOM ──────────────────────────────
  [  0.6%]  Bubble Sort       n=   100  random         0.262 ms
  [  1.1%]  Selection Sort    n=   100  random         0.141 ms
  [  1.7%]  Insertion Sort    n=   100  random         0.117 ms
  [  2.2%]  Merge Sort        n=   100  random         0.235 ms
  [  2.8%]  Quick Sort        n=   100  random         0.040 ms
  [  3.3%]  Heap Sort         n=   100  random         0.084 ms
  [  3.9%]  Shell Sort        n=   100  random         0.067 ms
  [  4.4%]  Counting Sort     n=   100  random         0.358 ms
  Insertion Sort          2.85   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Shell Sort             12.66   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Radix Sort             12.88   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Quick Sort             16.57   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Heap Sort              22.39   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Counting Sort          34.33   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Merge Sort             42.71   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Selection Sort       3969.74   ████████████████████████████████████████
────────────────────────────────────────────────────────────────────────
  (n = 10,000 — bars scaled to maximum value)


Figure — REVERSE Input  (n = 10,000, 5-run average)
────────────────────────────────────────────────────────────────────────
  Algorithm           Avg (ms)   Relative bar
────────────────────────────────────────────────────────────────────────
  Tim Sort                0.21   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Quick Sort             26.90   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Radix Sort             29.07   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Heap Sort              50.40   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Shell Sort             54.12   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Merge Sort             58.67   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Counting Sort          66.38   ░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Selection Sort       6114.82   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Insertion Sort      12205.44   █░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░░
  Bubble Sort        343480.35   ████████████████████████████████████████
────────────────────────────────────────────────────────────────────────
  (n = 10,000 — bars scaled to maximum value)


Figure — Growth Table, Random Input (all times in ms)
────────────────────────────────────────────────────────────────────────
  Algorithm             n=100      n=500     n=1000     n=2000     n=5000    n=10000
────────────────────────────────────────────────────────────────────────
  Bubble Sort           0.262     15.174     69.952    300.979   2331.066   8746.995
  Selection Sort        0.141      7.178     31.217    128.386    874.952   4083.490
  Insertion Sort        0.117      5.062     24.824    129.234    867.997   3973.022
  Merge Sort            0.235      2.256      2.664      5.702     15.298     58.764
  Quick Sort            0.040      0.388      2.075      3.106      9.842     19.741
  Heap Sort             0.084      0.831      3.141      5.131     15.893     36.989
  Shell Sort            0.067      0.975     14.039      5.565     14.375     52.747
  Counting Sort         0.358      2.237      3.101      5.967     20.907     29.358
  Radix Sort            0.057      0.383      1.241      1.819      4.765     15.717
  Tim Sort              0.005      0.026      0.087      0.166      0.534      2.612
────────────────────────────────────────────────────────────────────────


Summary Table — Average Sorting Time (ms) at n = 10,000
────────────────────────────────────────────────────────────────────────
  Algorithm             Random      Sorted     Reverse
────────────────────────────────────────────────────────────────────────
  Bubble Sort          8747.00        0.78   343480.35
  Selection Sort       4083.49     3969.74     6114.82
  Insertion Sort       3973.02        2.85    12205.44
  Merge Sort             58.76       42.71       58.67
  Quick Sort             19.74       16.57       26.90
  Heap Sort              36.99       22.39       50.40
  Shell Sort             52.75       12.66       54.12
  Counting Sort          29.36       34.33       66.38
  Radix Sort             15.72       12.88       29.07
  Tim Sort                2.61        0.06        0.21
────────────────────────────────────────────────────────────────────────

  Done.

Process finished with exit code 0
